================================================
  Task 2: u = sin(5(x+y)) + 2, lambda=x+y
  Equation: div(lambda * grad(u)) + q = 0
================================================

Domain:   [0, 1] x [0, 1]
Mesh:     40 x 40
Nodes:    1681
Elements: 3200

u_min = 1.000532
u_max = 2.998531
u_avg = 1.955150

Boundary conditions:
  x=0: Dirichlet  u = sin(5y) + 2
  x=1: Neumann   -(lambda*du/dn) = -(x+y)*5*cos(5(x+y))
  y=0: Dirichlet  u = sin(5x) + 2
  y=1: Neumann   -(lambda*du/dn) = -(x+y)*5*cos(5(x+y))

------------------------------------------------
  Node       x           y           u
    161  0.95000000  0.07500000    1.08885505
    162  0.97500000  0.07500000    1.14628085
    163  1.00000000  0.07500000    1.21686948
    164  0.00000000  0.10000000    2.47942554
    165  0.02500000  0.10000000    2.58541811
    166  0.05000000  0.10000000    2.68139008
    167  0.07500000  0.10000000    2.76631179
    168  0.10000000  0.10000000    2.83911804
    169  0.12500000  0.10000000    2.89881203
    170  0.15000000  0.10000000    2.94453256
    171  0.17500000  0.10000000    2.97559755
    172  0.20000000  0.10000000    2.99153196
    173  0.22500000  0.10000000    2.99208506
    174  0.25000000  0.10000000    2.97723999
    175  0.27500000  0.10000000    2.94721722
    176  0.30000000  0.10000000    2.90247299
    177  0.32500000  0.10000000    2.84369324
    178  0.35000000  0.10000000    2.77178349
    179  0.37500000  0.10000000    2.68785503
    180  0.40000000  0.10000000    2.59320775
    181  0.42500000  0.10000000    2.48930991
    182  0.45000000  0.10000000    2.37777524
    183  0.47500000  0.10000000    2.26033771
    184  0.50000000  0.10000000    2.13882446
    185  0.52500000  0.10000000    2.01512719
    186  0.55000000  0.10000000    1.89117263
    187  0.57500000  0.10000000    1.76889236
    188  0.60000000  0.10000000    1.65019269
    189  0.62500000  0.10000000    1.53692482
    190  0.65000000  0.10000000    1.43085596
    191  0.67500000  0.10000000    1.33364176
    192  0.70000000  0.10000000    1.24680048
    193  0.72500000  0.10000000    1.17168942
    194  0.75000000  0.10000000    1.10948384
    195  0.77500000  0.10000000    1.06115895
    196  0.80000000  0.10000000    1.02747498
    197  0.82500000  0.10000000    1.00896584
    198  0.85000000  0.10000000    1.00593141
    199  0.87500000  0.10000000    1.01843305
    200  0.90000000  0.10000000    1.04629167
    201  0.92500000  0.10000000    1.08908524
    202  0.95000000  0.10000000    1.14614026
    203  0.97500000  0.10000000    1.21650912
    204  1.00000000  0.10000000    1.29894278
    205  0.00000000  0.12500000    2.58509727
    206  0.02500000  0.12500000    2.68134541
    207  0.05000000  0.12500000    2.76639239
    208  0.07500000  0.12500000    2.83920031
    209  0.10000000  0.12500000    2.89881043
    210  0.12500000  0.12500000    2.94439643
    211  0.15000000  0.12500000    2.97530353
    212  0.17500000  0.12500000    2.99107632
    213  0.20000000  0.12500000    2.99147747
    214  0.22500000  0.12500000    2.97649885
    215  0.25000000  0.12500000    2.94636628
    216  0.27500000  0.12500000    2.90153893
    217  0.30000000  0.12500000    2.84270394
    218  0.32500000  0.12500000    2.77076679
    219  0.35000000  0.12500000    2.68683784
