x,y,u
0.6250000000,0.0500000000,1.7692042162
0.6500000000,0.0500000000,1.6501608928
0.6750000000,0.0500000000,1.5365607627
0.7000000000,0.0500000000,1.4301773995
0.7250000000,0.0500000000,1.3326724537
0.7500000000,0.0500000000,1.2455699347
0.7750000000,0.0500000000,1.1702328178
0.8000000000,0.0500000000,1.1078424884
0.8250000000,0.0500000000,1.0593816415
0.8500000000,0.0500000000,1.0256215069
0.8750000000,0.0500000000,1.0071148327
0.9000000000,0.0500000000,1.0041971105
0.9250000000,0.0500000000,1.0169995746
0.9500000000,0.0500000000,1.0454726097
0.9750000000,0.0500000000,1.0893688772
1.0000000000,0.0500000000,1.1478258865
0.0000000000,0.0750000000,2.3662725291
0.0250000000,0.0750000000,2.4804167889
0.0500000000,0.0750000000,2.5857721635
0.0750000000,0.0750000000,2.6814497002
0.1000000000,0.0750000000,2.7663126486
0.1250000000,0.0750000000,2.8392025827
0.1500000000,0.0750000000,2.8990557122
0.1750000000,0.0750000000,2.9449665396
0.2000000000,0.0750000000,2.9762249117
0.2250000000,0.0750000000,2.9923385044
0.2500000000,0.0750000000,2.9930463076
0.2750000000,0.0750000000,2.9783257043
0.3000000000,0.0750000000,2.9483943972
0.3250000000,0.0750000000,2.9037078312
0.3500000000,0.0750000000,2.8449525026
0.3750000000,0.0750000000,2.7730354388
0.4000000000,0.0750000000,2.6890701166
0.4250000000,0.0750000000,2.5943590900
0.4500000000,0.0750000000,2.4903736322
0.4750000000,0.0750000000,2.3787307252
0.5000000000,0.0750000000,2.2611677682
0.5250000000,0.0750000000,2.1395154058
0.5500000000,0.0750000000,2.0156689024
0.5750000000,0.0750000000,1.8915585153
0.6000000000,0.0750000000,1.7691193306
0.6250000000,0.0750000000,1.6502610362
0.6500000000,0.0750000000,1.5368381097
0.6750000000,0.0750000000,1.4306208943
0.7000000000,0.0750000000,1.3332680271
0.7250000000,0.0750000000,1.2463006708
0.7500000000,0.0750000000,1.1710789881
0.7750000000,0.0750000000,1.1087812824
0.8000000000,0.0750000000,1.0603862301
0.8250000000,0.0750000000,1.0266586337
0.8500000000,0.0750000000,1.0081391335
0.8750000000,0.0750000000,1.0051382163
0.9000000000,0.0750000000,1.0177342516
0.9250000000,0.0750000000,1.0457727275
0.9500000000,0.0750000000,1.0888550548
0.9750000000,0.0750000000,1.1462808504
1.0000000000,0.0750000000,1.2168694808
0.0000000000,0.1000000000,2.4794255386
0.0250000000,0.1000000000,2.5854181115
0.0500000000,0.1000000000,2.6813900758
0.0750000000,0.1000000000,2.7663117942
0.1000000000,0.1000000000,2.8391180398
0.1250000000,0.1000000000,2.8988120268
0.1500000000,0.1000000000,2.9445325573
0.1750000000,0.1000000000,2.9755975489
0.2000000000,0.1000000000,2.9915319590
0.2250000000,0.1000000000,2.9920850607
0.2500000000,0.1000000000,2.9772399866
0.2750000000,0.1000000000,2.9472172169
0.3000000000,0.1000000000,2.9024729904
0.3250000000,0.1000000000,2.8436932407
0.3500000000,0.1000000000,2.7717834876
0.3750000000,0.1000000000,2.6878550268
0.4000000000,0.1000000000,2.5932077476
0.4250000000,0.1000000000,2.4893099103
0.4500000000,0.1000000000,2.3777752395
0.4750000000,0.1000000000,2.2603377141
0.5000000000,0.1000000000,2.1388244620
0.5250000000,0.1000000000,2.0151271939
0.5500000000,0.1000000000,1.8911726255
0.5750000000,0.1000000000,1.7688923577
0.6000000000,0.1000000000,1.6501926864
0.6250000000,0.1000000000,1.5369248185
0.6500000000,0.1000000000,1.4308559641
0.6750000000,0.1000000000,1.3336417626
0.7000000000,0.1000000000,1.2468004830
0.7250000000,0.1000000000,1.1716894156
0.7500000000,0.1000000000,1.1094838443
0.7750000000,0.1000000000,1.0611589526
0.8000000000,0.1000000000,1.0274749759
0.8250000000,0.1000000000,1.0089658426
0.8500000000,0.1000000000,1.0059314063
0.8750000000,0.1000000000,1.0184330512
0.9000000000,0.1000000000,1.0462916670
0.9250000000,0.1000000000,1.0890852444
0.9500000000,0.1000000000,1.1461402563
0.9750000000,0.1000000000,1.2165091176
1.0000000000,0.1000000000,1.2989427771
0.0000000000,0.1250000000,2.5850972729
0.0250000000,0.1250000000,2.6813454096
0.0500000000,0.1250000000,2.7663923886
0.0750000000,0.1250000000,2.8392003117
0.1000000000,0.1250000000,2.8988104282
0.1250000000,0.1250000000,2.9443964324
0.1500000000,0.1250000000,2.9753035282
0.1750000000,0.1250000000,2.9910763155
0.2000000000,0.1250000000,2.9914774708
0.2250000000,0.1250000000,2.9764988518
0.2500000000,0.1250000000,2.9463662825
0.2750000000,0.1250000000,2.9015389311
0.3000000000,0.1250000000,2.8427039375
0.3250000000,0.1250000000,2.7707667868
0.3500000000,0.1250000000,2.6868378388
0.3750000000,0.1250000000,2.5922153845
0.4000000000,0.1250000000,2.4883655982
0.4250000000,0.1250000000,2.3768997588
0.4500000000,0.1250000000,2.2595491395
0.4750000000,0.1250000000,2.1381379826
0.5000000000,0.1250000000,2.0145549975
0.5250000000,0.1250000000,1.8907238383
