x,y,u
0.2000000000,0.5000000000,0.6523600045
0.2500000000,0.5000000000,0.6928803457
0.3000000000,0.5000000000,0.7348617273
0.3500000000,0.5000000000,0.7784678597
0.4000000000,0.5000000000,0.8238195064
0.4500000000,0.5000000000,0.8709988601
0.5000000000,0.5000000000,0.9200534649
0.5500000000,0.5000000000,0.9709988602
0.6000000000,0.5000000000,1.0238195065
0.6500000000,0.5000000000,1.0784678598
0.7000000000,0.5000000000,1.1348617274
0.7500000000,0.5000000000,1.1928803458
0.8000000000,0.5000000000,1.2523600045
0.8500000000,0.5000000000,1.3130905036
0.9000000000,0.5000000000,1.3748141789
0.9500000000,0.5000000000,1.4372294031
1.0000000000,0.5000000000,1.5000000000
0.0000000000,0.5500000000,0.5500000000
0.0500000000,0.5500000000,0.5847953417
0.1000000000,0.5500000000,0.6200322025
0.1500000000,0.5500000000,0.6561231356
0.2000000000,0.5500000000,0.6934300563
0.2500000000,0.5500000000,0.7322531027
0.3000000000,0.5500000000,0.7728290317
0.3500000000,0.5500000000,0.8153359600
0.4000000000,0.5500000000,0.8599010366
0.4500000000,0.5500000000,0.9066083988
0.5000000000,0.5500000000,0.9555057165
0.5500000000,0.5500000000,1.0066083989
0.6000000000,0.5500000000,1.0599010368
0.6500000000,0.5500000000,1.1153359601
0.7000000000,0.5500000000,1.1728290318
0.7500000000,0.5500000000,1.2322531027
0.8000000000,0.5500000000,1.2934300563
0.8500000000,0.5500000000,1.3561231356
0.9000000000,0.5500000000,1.4200322024
0.9500000000,0.5500000000,1.4847953417
1.0000000000,0.5500000000,1.5500000000
0.0000000000,0.6000000000,0.6000000000
0.0500000000,0.6000000000,0.6319197613
0.1000000000,0.6000000000,0.6643961536
0.1500000000,0.6000000000,0.6979397803
0.2000000000,0.6000000000,0.7329839824
0.2500000000,0.6000000000,0.7698729770
0.3000000000,0.6000000000,0.8088653370
0.3500000000,0.6000000000,0.8501459120
0.4000000000,0.6000000000,0.8938402813
0.4500000000,0.6000000000,0.9400279821
0.5000000000,0.6000000000,0.9887526032
0.5500000000,0.6000000000,1.0400279821
0.6000000000,0.6000000000,1.0938402814
0.6500000000,0.6000000000,1.1501459121
0.7000000000,0.6000000000,1.2088653371
0.7500000000,0.6000000000,1.2698729770
0.8000000000,0.6000000000,1.3329839823
0.8500000000,0.6000000000,1.3979397803
0.9000000000,0.6000000000,1.4643961535
0.9500000000,0.6000000000,1.5319197612
1.0000000000,0.6000000000,1.6000000000
0.0000000000,0.6500000000,0.6500000000
0.0500000000,0.6500000000,0.6784875499
0.1000000000,0.6500000000,0.7076928701
0.1500000000,0.6500000000,0.7382558498
0.2000000000,0.6500000000,0.7706931158
0.2500000000,0.6500000000,0.8053894858
0.3000000000,0.6500000000,0.8426134273
0.3500000000,0.6500000000,0.8825420697
0.4000000000,0.6500000000,0.9252861947
0.4500000000,0.6500000000,0.9709106449
0.5000000000,0.6500000000,1.0194487323
0.5500000000,0.6500000000,1.0709106449
0.6000000000,0.6500000000,1.1252861947
0.6500000000,0.6500000000,1.1825420697
0.7000000000,0.6500000000,1.2426134273
0.7500000000,0.6500000000,1.3053894858
0.8000000000,0.6500000000,1.3706931158
0.8500000000,0.6500000000,1.4382558497
0.9000000000,0.6500000000,1.5076928700
0.9500000000,0.6500000000,1.5784875498
1.0000000000,0.6500000000,1.6500000000
0.0000000000,0.7000000000,0.7000000000
0.0500000000,0.7000000000,0.7243375680
0.1000000000,0.7000000000,0.7496319272
0.1500000000,0.7000000000,0.7766976328
0.2000000000,0.7000000000,0.8061431454
0.2500000000,0.7000000000,0.8383784232
0.3000000000,0.7000000000,0.8736568167
0.3500000000,0.7000000000,0.9121227447
0.4000000000,0.7000000000,0.9538517828
0.4500000000,0.7000000000,0.9988796706
0.5000000000,0.7000000000,1.0472210361
0.5500000000,0.7000000000,1.0988796706
0.6000000000,0.7000000000,1.1538517828
0.6500000000,0.7000000000,1.2121227447
0.7000000000,0.7000000000,1.2736568167
0.7500000000,0.7000000000,1.3383784232
0.8000000000,0.7000000000,1.4061431454
0.8500000000,0.7000000000,1.4766976327
0.9000000000,0.7000000000,1.5496319272
0.9500000000,0.7000000000,1.6243375679
1.0000000000,0.7000000000,1.7000000000
0.0000000000,0.7500000000,0.7500000000
0.0500000000,0.7500000000,0.7692307948
0.1000000000,0.7500000000,0.7897996381
0.1500000000,0.7500000000,0.8127596087
0.2000000000,0.7500000000,0.8388034098
0.2500000000,0.7500000000,0.8683242449
0.3000000000,0.7500000000,0.9015126716
0.3500000000,0.7500000000,0.9384403096
0.4000000000,0.7500000000,0.9791185210
0.4500000000,0.7500000000,1.0235352186
0.5000000000,0.7500000000,1.0716760709
0.5500000000,0.7500000000,1.1235352186
0.6000000000,0.7500000000,1.1791185210
0.6500000000,0.7500000000,1.2384403096
0.7000000000,0.7500000000,1.3015126716
0.7500000000,0.7500000000,1.3683242448
0.8000000000,0.7500000000,1.4388034098
0.8500000000,0.7500000000,1.5127596087
0.9000000000,0.7500000000,1.5897996380
0.9500000000,0.7500000000,1.6692307948
1.0000000000,0.7500000000,1.7500000000
0.0000000000,0.8000000000,0.8000000000
0.0500000000,0.8000000000,0.8127859733
0.1000000000,0.8000000000,0.8275762215
0.1500000000,0.8000000000,0.8457377543
0.2000000000,0.8000000000,0.8679866401
0.2500000000,0.8000000000,0.8946024749
0.3000000000,0.8000000000,0.9256293154
0.3500000000,0.8000000000,0.9610073010
0.4000000000,0.8000000000,1.0006467732
0.4500000000,0.8000000000,1.0444666118
0.5000000000,0.8000000000,1.0924128103
0.5500000000,0.8000000000,1.1444666119
0.6000000000,0.8000000000,1.2006467732
0.6500000000,0.8000000000,1.2610073010
0.7000000000,0.8000000000,1.3256293154
